"Pig","Trt","Room","Pen","Day","Dry matter, %","dm_prop","dry_matter_perc"
"20-7","F","2","46","5",12.2538958570886,0.122538958570886,12.2538958570886
"5-3","C","2","47","5",9.65665236051503,0.0965665236051503,9.65665236051503
"16-9","C","2","47","5",21.5338245144005,0.215338245144005,21.5338245144005
"14-2","C","2","47","5",24.1056342712699,0.241056342712699,24.1056342712699
"20-3","E","2","48","5",25.4664960959901,0.254664960959901,25.4664960959901
"20-8","E","2","48","5",25.1125881714596,0.251125881714596,25.1125881714596
"26-5","E","2","48","5",10.9038301681693,0.109038301681693,10.9038301681693
"10-9","D","2","49","5",39.0552509489667,0.390552509489667,39.0552509489667
"18-20","D","2","49","5",23.654514846099,0.23654514846099,23.654514846099
"1-2","D","2","49","5",22.8253311124408,0.228253311124408,22.8253311124408
"6-2","A","2","50","5",9.38239724553475,0.0938239724553475,9.38239724553475
"21-13","A","2","50","5",14.4924318122941,0.144924318122941,14.4924318122941
"14-5","A","2","50","5",10.6377520636927,0.106377520636928,10.6377520636927
"19-5","F","2","51","5",13.4615931114837,0.134615931114837,13.4615931114837
"19-16","F","2","51","5",29.6090032303257,0.296090032303257,29.6090032303257
"19-11","F","2","51","5",10.1477555542694,0.101477555542694,10.1477555542694
"5-8","B","2","53","5",9.04613166746756,0.0904613166746756,9.04613166746756
"8-8","B","2","53","5",15.3759155536407,0.153759155536407,15.3759155536407
"24-3","B","2","53","5",19.8814554926508,0.198814554926508,19.8814554926508
"11-5","E","2","54","5",20.2418088771994,0.202418088771994,20.2418088771994
"26-9","E","2","54","5",19.9427521230301,0.199427521230301,19.9427521230301
"15-9","E","2","54","5",24.286499071337,0.24286499071337,24.286499071337
"28-4","C","2","55","5",9.05656722200698,0.0905656722200698,9.05656722200698
"28-15","C","2","55","5",22.6663186694506,0.226663186694506,22.6663186694506
"17-5","C","2","55","5",29.3512385445967,0.293512385445967,29.3512385445967
"23-5","F","2","56","5",23.8835993026686,0.238835993026686,23.8835993026686
"16-8","F","2","56","5",27.8820813023299,0.278820813023299,27.8820813023299
"17-7","F","2","56","5",29.5894887330656,0.295894887330656,29.5894887330656
"29-6","A","2","57","5",27.6275628179436,0.276275628179436,27.6275628179436
"18-15","A","2","57","5",19.9214274021935,0.199214274021935,19.9214274021935
"9-5","A","2","57","5",19.6847072057996,0.196847072057996,19.6847072057996
"26-6","D","2","58","5",24.4075555155521,0.244075555155521,24.4075555155521
"24-6","D","2","58","5",19.1974869606448,0.191974869606448,19.1974869606448
"19-13","D","2","58","5",21.5004058011927,0.215004058011927,21.5004058011927
"10-6","C","2","60","5",19.5057781801208,0.195057781801208,19.5057781801208
"3-6","C","2","60","5",20.513850708395,0.20513850708395,20.513850708395
"4-7","C","2","60","5",32.449305080884,0.32449305080884,32.449305080884
"2-3","A","2","61","5",20.8451998162609,0.208451998162609,20.8451998162609
"15-14","A","2","61","5",23.9702296933145,0.239702296933145,23.9702296933145
"12-2","A","2","61","5",24.6663157646652,0.246663157646652,24.6663157646652
"17-2","B","2","62","5",26.7600317838697,0.267600317838697,26.7600317838697
"24-9","B","2","62","5",27.1299568119356,0.271299568119356,27.1299568119356
"16-5","B","2","62","5",16.9098869025903,0.169098869025903,16.9098869025903
"18-4","D","2","63","5",24.9577418335234,0.249577418335234,24.9577418335234
"18-16","D","2","63","5",28.3143332906366,0.283143332906366,28.3143332906366
"19-6","D","2","63","5",8.1773278858467,0.081773278858467,8.1773278858467
"10-7","C","2","64","5",11.25107134509,0.1125107134509,11.25107134509
"27-5","C","2","64","5",21.2309841192725,0.212309841192725,21.2309841192725
"15-12","C","2","64","5",27.3757004888518,0.273757004888518,27.3757004888518
"8-4","D","2","65","5",25.328043446448,0.25328043446448,25.328043446448
"2-11","D","2","65","5",15.3006884010911,0.153006884010911,15.3006884010911
"1-4","D","2","65","5",14.4351464435146,0.144351464435146,14.4351464435146
"8-1","E","2","66","5",39.1939252336449,0.391939252336449,39.1939252336449
"16-10","E","2","66","5",20.0322402495634,0.200322402495634,20.0322402495634
"30-5","E","2","66","5",14.2713438225432,0.142713438225432,14.2713438225432
"29-2","F","2","67","5",20.5103327835452,0.205103327835452,20.5103327835452
"28-16","F","2","67","5",24.5540101459925,0.245540101459925,24.5540101459925
"24-4","F","2","67","5",27.4370972878948,0.274370972878948,27.4370972878948
"26-3","B","2","68","5",41.3685605174967,0.413685605174967,41.3685605174967
"21-14","B","2","68","5",31.0416232367452,0.310416232367452,31.0416232367452
"1-3","B","2","68","5",22.9886138194947,0.229886138194947,22.9886138194947
"13-16","E","1","2","10",11.0996029691006,0.110996029691006,11.0996029691006
"24-1","E","1","2","10",30.9118236472946,0.309118236472946,30.9118236472946
"14-12","E","1","2","10",8.75300338030884,0.0875300338030884,8.75300338030884
"20-11","D","1","3","10",20.2665282104534,0.202665282104534,20.2665282104534
"12-6","D","1","3","10",12.2714926602985,0.122714926602985,12.2714926602985
"28-14","D","1","3","10",14.2694518754625,0.142694518754625,14.2694518754625
"17-12","A","1","4","10",24.0129377648896,0.240129377648896,24.0129377648896
"6-9","A","1","4","10",12.7118316927234,0.127118316927234,12.7118316927234
"26-15","A","1","4","10",13.2913755400288,0.132913755400288,13.2913755400288
"21-11","B","1","5","10",28.2725113701628,0.282725113701628,28.2725113701628
"26-7","B","1","5","10",21.9021034353913,0.219021034353913,21.9021034353913
"12-13","B","1","5","10",29.7009804916668,0.297009804916668,29.7009804916668
"5-11","E","1","6","10",25.0639386189258,0.250639386189258,25.0639386189258
"19-3","E","1","6","10",29.0681426367843,0.290681426367843,29.0681426367843
"2-14","E","1","6","10",22.5484778458756,0.225484778458756,22.5484778458756
"29-14","C","1","7","10",20.1939092168242,0.201939092168242,20.1939092168242
"19-12","C","1","7","10",27.4514504914889,0.274514504914889,27.4514504914889
"8-7","C","1","7","10",18.5860946083671,0.185860946083671,18.5860946083671
"30-9","F","1","8","10",10.1123595505619,0.101123595505619,10.1123595505619
"26-2","F","1","8","10",5.90113501293496,0.0590113501293496,5.90113501293496
"16-15","F","1","8","10",22.1262534184139,0.221262534184139,22.1262534184139
"29-13","B","1","10","10",27.3747366492626,0.273747366492626,27.3747366492626
"27-2","B","1","10","10",27.6135170198307,0.276135170198307,27.6135170198307
"9-7","B","1","10","10",21.6157122931353,0.216157122931353,21.6157122931353
"29-15","A","1","11","10",20.2342225113859,0.202342225113859,20.2342225113859
"6-8","A","1","11","10",17.7109913996787,0.177109913996787,17.7109913996787
"14-14","A","1","11","10",15.8063876898688,0.158063876898688,15.8063876898688
"8-14","F","1","12","10",11.0613810741689,0.110613810741689,11.0613810741689
"25-6","F","1","12","10",4.9644724074248,0.049644724074248,4.9644724074248
"3-8","F","1","12","10",29.2321229541855,0.292321229541855,29.2321229541855
"13-13","C","1","13","10",15.0567538725221,0.150567538725221,15.0567538725221
"25-3","C","1","13","10",5.61302099178582,0.0561302099178582,5.61302099178582
"3-7","C","1","13","10",8.11524081812184,0.0811524081812184,8.11524081812184
"23-16","E","1","14","10",15.848368132982,0.15848368132982,15.848368132982
"19-8","E","1","14","10",27.2365437126857,0.272365437126857,27.2365437126857
"9-12","E","1","14","10",26.3303360849057,0.263303360849057,26.3303360849057
"23-13","D","1","15","10",11.0440139418011,0.110440139418011,11.0440139418011
"3-5","D","1","15","10",15.267266551457,0.15267266551457,15.267266551457
"6-17","D","1","15","10",27.6977614023335,0.276977614023335,27.6977614023335
"11-12","A","1","16","10",23.7406045098353,0.237406045098353,23.7406045098353
"27-3","A","1","16","10",8.66235987079612,0.0866235987079612,8.66235987079612
"16-13","A","1","16","10",9.83006216812423,0.0983006216812423,9.83006216812423
"12-12","F","1","17","10",14.3963466000621,0.143963466000621,14.3963466000621
"28-8","F","1","17","10",8.80464274947241,0.0880464274947241,8.80464274947241
"16-12","F","1","17","10",10.4306240036675,0.104306240036675,10.4306240036675
"3-12","B","1","19","10",17.5290970205566,0.175290970205566,17.5290970205566
"17-1","B","1","19","10",25.753147223309,0.25753147223309,25.753147223309
"4-15","B","1","19","10",22.9041294076001,0.229041294076001,22.9041294076001
"23-14","E","1","20","10",11.2621977486842,0.112621977486842,11.2621977486842
"14-1","E","1","20","10",22.0920062970089,0.220920062970089,22.0920062970089
"16-11","E","1","20","10",15.6974470699961,0.156974470699961,15.6974470699961
"15-15","C","1","21","10",24.2290748898678,0.242290748898678,24.2290748898678
"11-6","C","1","21","10",29.0775918537486,0.290775918537486,29.0775918537486
"24-8","C","1","21","10",7.51606674543935,0.0751606674543935,7.51606674543935
"25-11","F","1","22","10",9.74264705882353,0.0974264705882353,9.74264705882353
"18-10","F","1","22","10",18.7289001765416,0.187289001765416,18.7289001765416
"3-13","F","1","22","10",11.6622158535791,0.116622158535791,11.6622158535791
"8-11","A","1","23","10",8.17983610254868,0.0817983610254868,8.17983610254868
"15-11","A","1","23","10",8.65757988452058,0.0865757988452058,8.65757988452058
"21-6","A","1","23","10",6.88702181155756,0.0688702181155756,6.88702181155756
"20-12","D","1","24","10",21.542820681973,0.21542820681973,21.542820681973
"15-8","D","1","24","10",12.6343752193468,0.126343752193468,12.6343752193468
"1-6","D","1","24","10",14.2089116667364,0.142089116667364,14.2089116667364
"4-16","C","1","26","10",28.4580575442388,0.284580575442388,28.4580575442388
